Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
   (588) Achilles          1906 TG     L4    4.441   5.977   8.25  20201217  288.32  133.3  316.5   10.3  0.147   5.209    56     MPO593098
   (617) Patroclus         1906 VY     L5    4.487   5.940   8.24  20201217  253.55  307.9   44.3   22.1  0.139   5.214    62     MPO593099
   (624) Hektor            1907 XM     L4    5.145   5.383   7.31  20201217  219.67  183.4  342.8   18.2  0.023   5.264    70     MPO593099
   (659) Nestor            1908 CS     L4    4.558   5.771   8.71  20201217   31.60  343.6  350.7    4.5  0.117   5.165    60     MPO593100
   (884) Priamus           1917 CQ     L5    4.544   5.826   8.72  20201217  341.40  335.6  301.6    8.9  0.124   5.185    55     MPO593104
   (911) Agamemnon         1919 FD     L4    4.926   5.631   7.97  20201217  317.62   80.7  338.0   21.8  0.067   5.279    58     MPO593104
  (1143) Odysseus          1930 BH     L4    4.767   5.722   8.40  20201217  266.14  236.5  221.2    3.1  0.091   5.245    57     MPO593109
  (1172) Aneas             1930 UA     L5    4.672   5.772   8.28  20201217  321.46   50.6  247.3   16.7  0.105   5.222    51     MPO593109
  (1173) Anchises          1930 UB     L5    4.552   6.022   8.91  20201217  265.25   40.7  283.9    6.9  0.139   5.287    46     MPO593109
  (1208) Troilus           1931 YA     L5    4.770   5.737   9.00  20201217  272.01  295.3   48.5   33.5  0.092   5.253    37     MPO593110
  (1404) Ajax              1936 QW     L4    4.685   5.898   9.41  20201217  327.06   60.9  332.9   18.0  0.115   5.291    39     MPO593113
  (1437) Diomedes          1937 PB     L4    4.977   5.437   8.27  20201217  319.50  129.0  315.8   20.5  0.044   5.207    47     MPO593114
  (1583) Antilochus        1950 SA     L4    4.865   5.409   8.63  20201217  342.53  186.5  221.4   28.5  0.053   5.137    46     MPO593117
  (1647) Menelaus          1957 MK     L4    5.101   5.321  10.57  20201217  187.58  295.5  240.3    5.7  0.021   5.211    42     MPO593118
  (1749) Telamon           1949 SB     L4    4.587   5.704   9.54  20201217  274.28  113.0  340.8    6.1  0.109   5.146    35     MPO593120
  (1867) Deiphobus         1971 EA     L5    4.897   5.363   8.43  20201217  331.90  359.3  283.7   26.9  0.045   5.130    37     MPO593122
  (1868) Thersites         2008 P-L    L4    4.725   5.898   9.62  20201217  357.27  170.7  197.8   16.8  0.110   5.312    37     MPO593122
  (1869) Philoctetes       4596 P-L    L4    4.835   5.551  11.15  20201217  343.16  325.7   43.9    4.0  0.069   5.193    29     MPO593122
  (1870) Glaukos           1971 FE     L5    5.068   5.420  10.76  20201217  297.92  130.1  176.3    6.6  0.034   5.244    36     MPO593122
  (1871) Astyanax          1971 FF     L5    5.053   5.420  11.28  20201217  267.27  164.2  145.8    8.6  0.035   5.237    31     MPO593122
  (1872) Helenos           1971 FG     L5    5.060   5.582  10.88  20201217  309.09  114.6  188.8   14.6  0.049   5.321    31     MPO593122
  (1873) Agenor            1971 FH     L5    4.747   5.710  10.25  20201217   42.18  358.0  197.9   21.9  0.092   5.229    33     MPO593122
  (2146) Stentor           1976 UQ     L4    4.661   5.721   9.99  20201217  321.16  273.9  131.3   39.3  0.102   5.191    29     MPO593127
  (2148) Epeios            1976 UW     L4    4.913   5.519  10.84  20201217  326.19  231.8  176.6    9.1  0.058   5.216    29     MPO593127
  (2207) Antenor           1977 QH1    L5    5.087   5.232   8.98  20201217  152.63  310.1  159.1    6.8  0.014   5.159    37     MPO593128
  (2223) Sarpedon          1977 TL3    L5    5.153   5.344   9.22  20201217  350.57   50.3  220.9   15.9  0.018   5.248    34     MPO593129
  (2241) Alcathous         1979 WM     L5    4.832   5.525   8.63  20201217   36.66  292.8  268.0   16.6  0.067   5.179    35     MPO593129
  (2260) Neoptolemus       1975 WM1    L4    4.964   5.429   9.48  20201217  325.77  320.8   86.6   17.8  0.045   5.196    29     MPO593129
  (2357) Phereclos         1981 AC     L5    4.972   5.461   9.08  20201217    2.14   74.9  179.2    2.7  0.047   5.217    41     MPO593131
  (2363) Cebriones         1977 TJ3    L5    5.017   5.424   9.02  20201217    4.05   53.1  211.7   32.1  0.039   5.221    33     MPO593131
  (2456) Palamedes         1966 BA1    L4    4.745   5.514   9.38  20201217  311.08   95.0  327.4   13.9  0.075   5.129    33     MPO593133
  (2594) Acamas            1978 TB     L5    4.624   5.492  11.87  20201217  328.12  279.9  356.7    5.5  0.086   5.058    29     MPO593135
  (2674) Pandarus          1982 BC3    L5    4.825   5.552   9.19  20201217   33.96   40.8  179.8    1.9  0.070   5.188    35     MPO593137
  (2759) Idomeneus         1980 GC     L4    4.854   5.527  10.07  20201217  201.15    8.8  171.2   21.9  0.065   5.191    30     MPO593138
  (2797) Teucer            1981 LK     L4    4.659   5.556   8.94  20201217  260.23   48.3   69.9   22.4  0.088   5.108    32     MPO593139
  (2893) Peiroos           1975 QD     L5    4.747   5.543   9.11  20200531  301.11  172.2  108.8   14.7  0.077   5.145    38     E2020-QM5
  (2895) Memnon            1981 AE1    L5    4.988   5.496  10.14  20200531  187.27  276.1  134.0   27.2  0.049   5.242    28     E2020-QM5
  (2920) Automedon         1981 JR     L4    4.971   5.249   8.91  20201217  307.54  196.7  230.9   21.1  0.027   5.110    29     MPO593140
  (3063) Makhaon           1983 PV     L4    4.910   5.517   8.69  20200531  235.12  204.8  287.9   12.2  0.058   5.213    34     E2020-QM5
  (3240) Laocoon           1978 VG6    L5    4.557   5.899  10.29  20201217  286.58   15.7  296.3    2.3  0.128   5.228    34     MPO593145
  (3317) Paris             1984 KF     L5    4.553   5.888   8.54  20201217  328.03  150.2  135.9   27.9  0.128   5.220    29     MPO593146
  (3391) Sinon             1977 DD3    L4    4.859   5.743  10.42  20201217  281.48  103.1  341.1   14.9  0.083   5.301    26     MPO593148
  (3451) Mentor            1984 HA1    L5    4.785   5.515   8.53  20201217  322.51  130.1  179.6   24.6  0.071   5.150    31     MPO593149
  (3540) Protesilaos       1973 UF5    L4    4.666   5.895   9.46  20201217  236.39  116.1   26.4   23.3  0.116   5.280    29     MPO593150
  (3548) Eurybates         1973 SO     L4    4.733   5.664   9.84  20201217  321.28   27.2   43.5    8.1  0.090   5.198    32     MPO593150
  (3564) Talthybius        1985 TC1    L4    5.001   5.403   9.54  20201217  134.20  204.1   23.8   15.5  0.039   5.202    34     MPO593151
  (3596) Meriones          1985 VO     L4    4.793   5.557   9.28  20201217  324.86   66.0  356.7   23.5  0.074   5.175    30     MPO593151
  (3708)                   1974 FV1    L5    4.385   6.042   9.38  20201217  259.58   57.5  291.2   13.4  0.159   5.214    32     MPO593153
  (3709) Polypoites        1985 TL3    L4    4.908   5.561   9.13  20201217  285.53  246.4  187.1   19.6  0.062   5.234    31     MPO593153
  (3793) Leonteus          1985 TE3    L4    4.752   5.687   8.89  20201217  278.35  262.3  200.5   20.9  0.089   5.219    35     MPO593155
  (3794) Sthenelos         1985 TF3    L4    4.438   5.967  10.52  20201217  356.41   35.9  343.2    6.1  0.147   5.203    31     MPO593155
  (3801) Thrasymedes       1985 VS     L4    5.198   5.451  11.14  20201217  311.50  204.6  209.5   28.5  0.024   5.325    29     MPO593155
